molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
C7H14,2-methyl-2-hexene,2738-19-4,142.8,457.66,133.45206081865,0.47620299131243,-0.0014383303341819,2.355482386133e-06,0.0
C7H14,3-methyl-cis2-hexene,10574-36-4,154.65,459.96,130.55700207298,0.49979907506252,-0.0014965516055956,2.3979916118611e-06,0.0
C7H14,3-methyl-trans-2-hexene,20710-38-7,143.85,457.38,132.39661102,0.48439346421912,-0.001465998319211,2.3955414027611e-06,0.0
C7H14,4-methyl-cis2-hexene,3683-19-0,148.07,446.75,129.8890407823,0.49879805365346,-0.0015341321054569,2.5090377881737e-06,0.0
C7H14,4-methyl-trans-2-hexene,3683-22-5,147.46,448.31,131.00376101417,0.48990073295565,-0.001500028196053,2.4547860948991e-06,0.0
C7H14,5-methyl-cis2-hexene,13151-17-2,148.07,450.72,131.29666166525,0.48736485335677,-0.0014845010874458,2.4234951450418e-06,0.0
C7H14,5-methyl-trans-2-hexene,7385-82-2,148.81,448.99,131.44189525068,0.48671514544297,-0.0014850412383021,2.4247557159237e-06,0.0
C7H14,2-methyl-cis3-hexene,15840-60-5,148.07,446.37,130.35240395183,0.49534462759118,-0.0015228433516268,2.4920242088758e-06,0.0
C7H14,2-methyl-trans-3-hexene,692-24-0,131.59,446.24,134.88463251767,0.45778902169762,-0.0014165965885704,2.3869790123183e-06,0.0
C7H14,3-methyl-cis3-hexene,4914-89-0,149.11,457.65,131.42343198812,0.49262014577355,-0.0014856303612464,2.4059689627064e-06,0.0
C7H14,3-methyl-trans-3-hexene,3899-36-3,149.11,455.34,130.82655401144,0.49747757400663,-0.0015078242243592,2.4448753343547e-06,0.0
C7H14,2-ethyl-1-pentene,3404-71-5,168.0,455.08,135.41523999035,0.50793184606614,-0.001528883448705,2.3910392094597e-06,0.0
C7H14,3-ethyl-1-pentene,4038-04-04 00:00:00,145.67,443.63,142.80464809858,0.43588862247616,-0.0013578521517779,2.2168061756871e-06,0.0
C7H14,"2,3-dimethyl-1-pentene",3404-72-6,138.85,445.07,132.53747222503,0.49173745447266,-0.0015236918087,2.540071822721e-06,0.0
C7H14,"2,4-dimethyl-1-pentene",2213-32-3,149.09,441.75,129.83211643816,0.51523997144922,-0.0015979191745203,2.6227219020289e-06,0.0
C7H14,"3,3-dimethyl-1-pentene",3404-73-7,138.77,439.19,131.37981830037,0.46564641658609,-0.0014410867221717,2.4358392262577e-06,0.0
